"","X","Player","Mat","Inn","NO","Runs","HS","Ave","Balls","SR","X100","X50","X30","X0","X4s","X6s","BpB","Bp4","Bp6","PrB","Pr4","Pr6","BBP","RpB","RpNB","RpI","BpI","Basra","ABP","PRICE.PAID"
"1782",1779,"rayad emrit",147,70,31,463,"54",11.87,411,112.65,0,1,0,5,25,22,8.74,16.44,"18.68",50.11,21.6,28.51,11.44,4.94,0.63,6.61,5.87,124.52,8.14,62500
"1784",1784,"chirag khurana",23,22,4,461,"78",25.61,405,113.83,0,3,3,2,50,4,7.5,8.1,"101.25",48.59,43.38,5.21,13.33,4.15,0.68,20.95,18.41,139.44,3.27,25000
"1785",1784,"pinal shah",54,37,7,461,"71",15.37,417,110.55,0,2,2,5,47,8,7.58,8.87,"52.13",51.19,40.78,10.41,13.19,4.29,0.62,12.46,11.27,125.92,5.46,12500
"1790",1787,"amit pachhara",22,20,7,460,"56*",35.38,358,128.49,0,2,6,4,34,14,7.46,10.53,"25.57",47.83,29.57,18.26,13.41,4.58,0.77,23,17.9,163.88,5.2,25000
"1793",1791,"shreyas gopal",85,37,11,459,"48",17.65,384,119.53,0,0,3,6,45,8,7.25,8.53,"48",49.67,39.22,10.46,13.8,4.3,0.7,12.41,10.38,137.19,7.68,93750
"1795",1791,"manpreet gony",87,50,16,459,"42",13.5,308,149.03,0,0,3,7,31,28,5.22,9.94,"11",63.62,27.02,36.6,19.16,4.95,0.67,9.18,6.16,162.53,7.72,75000
"1798",1796,"akeal hosein",103,54,24,458,"44",15.27,415,110.36,0,0,2,1,24,23,8.83,17.29,"18.04",51.09,20.96,30.13,11.33,4.98,0.61,8.48,7.69,125.63,7.69,125000
"1802",1802,"mukul dagar",13,13,1,454,"99*",37.83,329,137.99,0,5,1,0,69,9,4.22,4.77,"36.56",72.69,60.79,11.89,23.71,4.23,0.49,34.92,25.31,175.83,1.15,12500
"1803",1802,"mark deyal",32,29,2,454,"78",16.81,362,125.41,0,1,4,4,41,21,5.84,8.83,"17.24",63.88,36.12,27.75,17.13,4.68,0.55,15.66,12.48,142.23,3.69,25000
"1807",1807,"bharat chipli",30,28,7,453,"61",21.57,386,117.36,0,2,4,1,52,12,6.03,7.42,"32.17",61.81,45.92,15.89,16.58,4.38,0.54,16.18,13.79,138.93,3.82,12500
"1809",1808,"dhruv raval",21,21,2,452,"73",23.79,346,130.64,0,2,2,0,59,8,5.16,5.86,"43.25",62.83,52.21,10.62,19.36,4.24,0.6,21.52,16.48,154.43,1.76,25000
"1825",1825,"abhinav manohar",22,18,5,443,"70*",34.08,278,159.35,0,2,4,1,38,26,4.34,7.32,"10.69",69.53,34.31,35.21,23.02,4.81,0.63,24.61,15.44,193.43,5.39,25000
"1833",1833,"hayden kerr",51,29,7,439,"98",19.95,337,130.27,0,1,2,2,29,13,8.02,11.62,"25.92",44.19,26.42,17.77,12.46,4.62,0.83,15.14,11.62,150.22,5.79,25000
"1836",1833,"narsingh deonarine",38,33,8,439,"57",17.56,426,103.05,0,2,2,6,37,9,9.26,11.51,"47.33",46.01,33.71,12.3,10.8,4.39,0.62,13.3,12.91,120.61,4.85,37500
"1851",1851,"tanmay mishra",27,26,0,434,"68",16.69,438,99.09,0,1,4,3,33,12,9.73,13.27,"36.5",47,30.41,16.59,10.27,4.53,0.59,16.69,16.85,115.78,3.19,12500
"1870",1866,"lasith malinga",292,92,39,426,"37",8.04,414,102.9,0,0,1,20,31,21,7.96,13.35,"19.71",58.69,29.11,29.58,12.56,4.81,0.49,4.63,4.5,110.94,9.53,250000
"1872",1871,"joginder sharma",63,39,11,425,"75",15.18,337,126.11,0,1,1,7,34,20,6.24,9.91,"16.85",60.24,32,28.24,16.02,4.74,0.6,10.9,8.64,141.29,6.67,37500
"1873",1871,"matt henry",97,57,24,425,"44",12.88,275,154.55,0,0,2,8,26,27,5.19,10.58,"10.19",62.59,24.47,38.12,19.27,5.02,0.72,7.46,4.82,167.42,8.19,62500
"1880",1878,"amogh sunil desai",36,34,1,423,"38",12.82,445,95.06,0,0,4,3,43,15,7.67,10.35,"29.67",61.94,40.66,21.28,13.03,4.52,0.42,12.44,13.09,107.87,2.68,12500
"1897",1894,"kagiso rabada",175,68,33,418,"44",11.94,394,106.09,0,0,1,11,37,13,7.88,10.65,"30.31",54.07,35.41,18.66,12.69,4.52,0.56,6.15,5.79,118.03,8.53,1156250
"1903",1901,"ekant sen",25,21,5,416,"52",26,330,126.06,0,2,6,2,39,17,5.89,8.46,"19.41",62.02,37.5,24.52,16.97,4.61,0.58,19.81,15.71,152.06,4.95,25000
"1904",1901,"brett lee",120,56,26,416,"48",13.87,317,131.23,0,0,2,8,30,22,6.1,10.57,"14.41",60.58,28.85,31.73,16.4,4.85,0.62,7.43,5.66,145.1,8.36,250000
"1912",1911,"pavan deshpande",24,19,5,413,"63",29.5,294,140.48,0,2,3,3,29,18,6.26,10.14,"16.33",54.24,28.09,26.15,15.99,4.77,0.77,21.74,15.47,169.98,4.84,25000
"1923",1920,"vidyut sivaramakrishnan",25,21,1,410,"54",20.5,316,129.75,0,1,4,2,44,11,5.75,7.18,"28.73",59.02,42.93,16.1,17.41,4.4,0.64,19.52,15.05,150.25,3.14,37500
"1928",1927,"rajjakuddin ahmed",31,28,7,408,"53",19.43,273,149.45,0,1,6,1,32,23,4.96,8.53,"11.87",65.2,31.37,33.82,20.15,4.84,0.65,14.57,9.75,168.88,6.36,25000
"1940",1940,"shardul thakur",144,50,17,404,"68*",12.24,300,134.67,0,1,0,10,31,17,6.25,9.68,"17.65",55.94,30.69,25.25,16,4.71,0.71,8.08,6,146.91,8.12,1343750
"1942",1940,"kaushal silva",30,22,4,404,"60",22.44,354,114.12,0,2,3,2,47,0,7.53,7.53,"0",46.53,46.53,0,13.28,4,0.7,18.36,16.09,136.57,4.14,37500
"1943",1940,"graeme cremer",76,47,13,404,"36",11.88,423,95.51,0,0,4,3,21,5,16.27,20.14,"84.6",28.22,20.79,7.43,6.15,4.38,0.73,8.6,9,107.39,7.91,62500
"1948",1945,"kyle jamieson",59,33,17,403,"45",25.19,304,132.57,0,0,4,1,34,11,6.76,8.94,"27.64",50.12,33.75,16.38,14.8,4.49,0.78,12.21,9.21,157.75,7.88,125000
"1949",1945,"jamaluddin syed mohammad",45,32,14,403,"42",22.39,364,110.71,0,0,5,2,33,9,8.67,11.03,"40.44",46.15,32.75,13.4,11.54,4.43,0.67,12.59,11.38,133.1,7.09,12500
"1965",1963,"corbin bosch",44,28,9,399,"81",21,353,113.03,0,2,3,4,36,6,8.4,9.81,"58.83",45.11,36.09,9.02,11.9,4.29,0.7,14.25,12.61,134.03,6.14,25000
"1966",1963,"todd astle",98,47,21,399,"37*",15.35,373,106.97,0,0,3,3,32,5,10.08,11.66,"74.6",39.6,32.08,7.52,9.92,4.27,0.72,8.49,7.94,122.32,8.23,93750
"1968",1963,"bhuvneshwar kumar",256,90,48,399,"24",9.5,443,90.07,0,0,0,7,27,6,13.42,16.41,"73.83",36.09,27.07,9.02,7.45,4.36,0.62,4.43,4.92,99.57,8.69,525000
"1982",1980,"nuwan kulasekara",111,56,19,395,"31",10.68,329,120.06,0,0,2,8,24,16,8.23,13.71,"20.56",48.61,24.3,24.3,12.16,4.8,0.7,7.05,5.88,130.74,8.57,62500
"1987",1986,"suryakant pradhan",52,35,8,392,"48",14.52,219,179,0,0,2,3,19,30,4.47,11.53,"7.3",65.31,19.39,45.92,22.37,5.22,0.8,11.2,6.26,193.51,8.17,25000
"1991",1990,"sumeet verma",40,32,4,391,"54",13.96,324,120.68,0,3,0,3,25,20,7.2,12.96,"16.2",56.27,25.58,30.69,13.89,4.89,0.61,12.22,10.13,134.64,4.72,25000
"1996",1992,"saurabh bandekar",33,32,5,389,"53",14.41,357,108.96,0,1,1,3,25,12,9.65,14.28,"29.75",44.22,25.71,18.51,10.36,4.65,0.68,12.16,11.16,123.37,5.97,12500
"1997",1992,"kaushal singh",32,25,7,389,"50",21.61,324,120.06,0,1,3,3,27,17,7.36,12,"19.06",53.98,27.76,26.22,13.58,4.77,0.64,15.56,12.96,141.67,6.16,12500
"2000",1999,"rahul buddhi",19,19,6,388,"72",29.85,304,127.63,0,1,2,1,36,12,6.33,8.44,"25.33",55.67,37.11,18.56,15.79,4.5,0.67,20.42,16,157.48,5.42,25000
"2009",2009,"kshitiz sharma",24,19,5,385,"65",27.5,336,114.58,0,3,1,1,40,14,6.22,8.4,"24",63.38,41.56,21.82,16.07,4.52,0.5,20.26,17.68,142.08,4.74,25000
"2026",2019,"jayant yadav",81,45,20,383,"39",15.32,321,119.31,0,0,3,7,25,13,8.45,12.84,"24.69",46.48,26.11,20.37,11.84,4.68,0.72,8.51,7.13,134.63,8.04,212500
"2038",2032,"kane richardson",166,57,24,381,"45",11.55,331,115.11,0,0,1,7,26,12,8.71,12.73,"27.58",46.19,27.3,18.9,11.48,4.63,0.7,6.68,5.81,126.65,9.02,5e+05
"2040",2039,"ankit sharma",74,46,14,380,"41",11.88,370,102.7,0,0,2,6,30,10,9.25,12.33,"37",47.37,31.58,15.79,10.81,4.5,0.61,8.26,8.04,114.58,7.48,25000
"2050",2046,"dikshanshu negi",22,20,5,377,"77*",25.13,328,114.94,0,1,1,1,39,8,6.98,8.41,"41",54.11,41.38,12.73,14.33,4.34,0.62,18.85,16.4,140.07,4.95,25000
"2062",2059,"jesal karia",30,22,6,375,"47",23.44,304,123.36,0,0,3,2,27,10,8.22,11.26,"30.4",44.8,28.8,16,12.17,4.54,0.78,17.05,13.82,146.79,6.41,12500
"2069",2065,"prenelan subrayen",96,41,18,374,"35",16.26,311,120.26,0,0,4,6,17,19,8.64,18.29,"16.37",48.66,18.18,30.48,11.58,5.06,0.7,9.12,7.59,136.52,7.95,25000
"2070",2065,"peter nevill",57,40,14,374,"33",14.38,347,107.78,0,0,1,3,31,4,9.91,11.19,"86.75",39.57,33.16,6.42,10.09,4.23,0.72,9.35,8.68,122.17,6.05,37500
"2078",2073,"marchant de lange",135,57,23,372,"28",10.94,288,129.17,0,0,0,5,30,16,6.26,9.6,"18",58.06,32.26,25.81,15.97,4.7,0.64,6.53,5.05,140.11,8.56,37500
"2081",2079,"ayush badoni",32,24,7,371,"54",21.82,285,130.18,0,1,2,1,25,14,7.31,11.4,"20.36",49.6,26.95,22.64,13.68,4.72,0.76,15.46,11.88,152,5.58,25000
"2086",2083,"jordan hermann",14,14,2,370,"67*",30.83,323,114.55,0,3,2,2,37,10,6.87,8.73,"32.3",56.22,40,16.22,14.55,4.43,0.59,26.43,23.07,145.38,3.21,25000
"2092",2092,"eknath kerkar",22,19,4,369,"53*",24.6,333,110.81,0,1,6,3,32,8,8.33,10.41,"41.63",47.7,34.69,13.01,12.01,4.4,0.66,19.42,17.53,135.41,3.79,25000
"2097",2094,"ben wheeler",61,40,19,368,"47*",17.52,271,135.79,0,0,2,1,20,20,6.78,13.55,"13.55",54.35,21.74,32.61,14.76,5,0.73,9.2,6.78,153.32,7.8,62500
"2100",2099,"vishal kushwah",30,25,8,367,"60",21.59,237,154.85,0,1,3,1,19,28,5.04,12.47,"8.46",66.49,20.71,45.78,19.83,5.19,0.65,14.68,9.48,176.44,5.56,25000
"2105",2104,"yash dhull",10,10,3,366,"73",52.29,284,128.87,0,3,3,0,36,11,6.04,7.89,"25.82",57.38,39.34,18.03,16.55,4.47,0.66,36.6,28.4,181.16,3.3,62500
"2116",2116,"bandeep singh",16,15,1,364,"59",26,290,125.52,0,2,5,0,31,16,6.17,9.35,"18.13",60.44,34.07,26.37,16.21,4.68,0.59,24.27,19.33,151.52,4.33,12500
"2125",2120,"adam milne",149,63,35,363,"22",12.96,297,122.22,0,0,0,5,24,12,8.25,12.38,"24.75",46.28,26.45,19.83,12.12,4.67,0.75,5.76,4.71,135.19,8.67,237500
"2136",2134,"ish sodhi",233,73,33,359,"51",8.98,334,107.49,0,1,0,12,24,16,8.35,13.92,"20.88",53.48,26.74,26.74,11.98,4.8,0.57,4.92,4.58,116.46,9.27,93750
"2140",2139,"ripal patel",26,21,7,358,"41",25.57,234,152.99,0,0,4,0,25,23,4.88,9.36,"10.17",66.48,27.93,38.55,20.51,4.96,0.65,17.05,11.14,178.56,5.67,25000
"2151",2150,"harvik desai",20,20,2,355,"59",19.72,323,109.91,0,2,1,2,46,8,5.98,7.02,"40.38",65.35,51.83,13.52,16.72,4.3,0.46,17.75,16.15,129.63,1,25000
"2156",2155,"suraj randiv",62,30,10,354,"55",17.7,255,138.82,0,1,1,4,34,9,5.93,7.5,"28.33",53.67,38.42,15.25,16.86,4.42,0.77,11.8,8.5,156.52,7.93,37500
"2162",2158,"rohit dahiya",46,36,9,353,"40",13.07,284,124.3,0,0,2,4,21,15,7.89,13.52,"18.93",49.29,23.8,25.5,12.68,4.83,0.72,9.81,7.89,137.37,6.94,12500
"2168",2166,"raghav dhawan",14,14,1,351,"65",27,323,108.67,0,2,4,1,39,6,7.18,8.28,"53.83",54.7,44.44,10.26,13.93,4.27,0.57,25.07,23.07,135.67,2.71,12500
"2169",2166,"brad hogg",140,47,24,351,"54",15.26,333,105.41,0,1,2,5,18,8,12.81,18.5,"41.63",34.19,20.51,13.68,7.81,4.62,0.75,7.47,7.09,120.67,8.72,62500
"2186",2184,"craig overton",70,37,15,347,"35",15.77,282,123.05,0,0,2,2,18,15,8.55,15.67,"18.8",46.69,20.75,25.94,11.7,4.91,0.74,9.38,7.62,138.82,8,250000
"2187",2187,"kuldeep raval",12,12,3,346,"83*",38.44,202,171.29,0,3,2,0,29,18,4.3,6.97,"11.22",64.74,33.53,31.21,23.27,4.77,0.79,28.83,16.83,209.73,6.08,12500
"2189",2187,"shadley van schalkwyk",93,40,19,346,"49",16.48,332,104.22,0,0,2,2,22,11,10.06,15.09,"30.18",44.51,25.43,19.08,9.94,4.67,0.64,8.65,8.3,120.69,7.3,25000
"2194",2194,"cameron green",26,22,5,344,"64",20.24,242,142.15,0,3,2,0,33,11,5.5,7.33,"22",57.56,38.37,19.19,18.18,4.5,0.74,15.64,11,162.38,4.32,2187500
"2197",2194,"migael pretorius",63,45,15,344,"38",11.47,260,132.31,0,0,2,3,15,21,7.22,17.33,"12.38",54.07,17.44,36.63,13.85,5.17,0.71,7.64,5.78,143.77,7.87,25000
"2199",2198,"sohraab dhaliwal",27,24,7,343,"51",20.18,214,160.28,0,1,2,1,24,22,4.65,8.92,"9.73",66.47,27.99,38.48,21.5,4.96,0.68,14.29,8.92,180.46,6.29,25000
"2204",2201,"aaron phangiso",189,55,17,343,"29",9.03,371,92.45,0,0,0,9,23,13,10.31,16.13,"28.54",49.56,26.82,22.74,9.7,4.72,0.52,6.24,6.75,101.48,8.91,62500
"2215",2214,"baba indrajith",23,21,2,340,"46",17.89,335,101.49,0,0,5,1,22,5,12.41,15.23,"67",34.71,25.88,8.82,8.06,4.37,0.72,16.19,15.95,119.39,4.19,25000
"2222",2217,"imran tahir",378,78,39,339,"23",8.69,313,108.31,0,0,0,10,28,12,7.83,11.18,"26.08",54.28,33.04,21.24,12.78,4.6,0.57,4.35,4.01,117,10.14,125000
"2223",2223,"avneesh sudha",16,15,0,338,"96",22.53,283,119.43,0,1,4,1,42,7,5.78,6.74,"40.43",62.13,49.7,12.43,17.31,4.29,0.55,22.53,18.87,141.97,2.4,25000
"2232",2231,"mohammad shahzad",23,22,2,337,"56",16.85,293,115.02,0,2,2,3,27,14,7.15,10.85,"20.93",56.97,32.05,24.93,13.99,4.68,0.58,15.32,13.32,131.87,2.77,62500
"2240",2240,"kunal chandela",17,17,3,335,"59",23.93,273,122.71,0,1,3,0,30,11,6.66,9.1,"24.82",55.52,35.82,19.7,15.02,4.54,0.64,19.71,16.06,146.64,4.59,25000
"2247",2244,"henry shipley",36,22,5,334,"39",19.65,240,139.17,0,0,3,0,27,14,5.85,8.89,"17.14",57.49,32.34,25.15,17.08,4.68,0.71,15.18,10.91,158.81,7.36,25000
"2252",2248,"amit yadav",48,37,9,333,"38",11.89,251,132.67,0,0,3,5,11,24,7.17,22.82,"10.46",56.46,13.21,43.24,13.94,5.37,0.67,9,6.78,144.56,7.62,25000
"2260",2260,"deepraj gaonkar",32,24,4,331,"48",16.55,304,108.88,0,0,3,0,31,7,8,9.81,"43.43",50.15,37.46,12.69,12.5,4.37,0.62,13.79,12.67,125.43,6.46,25000
"2263",2262,"manzoor dar",23,19,4,330,"58",22,225,146.67,0,1,4,0,29,19,4.69,7.76,"11.84",69.7,35.15,34.55,21.33,4.79,0.57,17.37,11.84,168.67,5.37,25000
"2264",2262,"aditya garhwal",27,27,2,330,"37",13.2,268,123.13,0,0,4,2,41,10,5.25,6.54,"26.8",67.88,49.7,18.18,19.03,4.39,0.49,12.22,9.93,136.33,3.7,31250
"2275",2270,"anukul roy",39,30,10,328,"47*",16.4,236,138.98,0,0,3,3,20,18,6.21,11.8,"13.11",57.32,24.39,32.93,16.1,4.95,0.71,10.93,7.87,155.38,6.33,25000
"2281",2279,"utkarsh singh",25,17,3,327,"49",23.36,273,119.78,0,0,3,0,37,7,6.2,7.38,"39",58.1,45.26,12.84,16.12,4.32,0.6,19.24,16.06,143.14,4.24,25000
"2283",2279,"jhye richardson",83,43,22,327,"33",15.57,297,110.1,0,0,1,4,22,12,8.74,13.5,"24.75",48.93,26.91,22.02,11.45,4.71,0.64,7.6,6.91,125.67,8.42,187500
"2305",2301,"kyle abbott",155,53,29,322,"30*",13.42,270,119.26,0,0,1,6,23,10,8.18,11.74,"27",47.21,28.57,18.63,12.22,4.61,0.72,6.08,5.09,132.68,9.08,262500
"2312",2310,"murali kartik",147,46,21,320,"35",12.8,290,110.34,0,0,1,10,28,5,8.79,10.36,"58",44.38,35,9.38,11.38,4.3,0.69,6.96,6.3,123.14,8,125000
"2332",2331,"pargat singh",16,15,2,316,"61",24.31,285,110.88,0,2,2,4,37,7,6.48,7.7,"40.71",60.13,46.84,13.29,15.44,4.32,0.52,21.07,19,135.18,2.53,12500
"2340",2336,"mitchell johnson",111,51,27,315,"30",13.13,300,105,0,0,1,4,22,10,9.38,13.64,"30",46.98,27.94,19.05,10.67,4.63,0.62,6.18,5.88,118.13,8.2,250000
"2354",2348,"dale steyn",228,72,34,313,"27",8.24,291,107.56,0,0,0,11,25,9,8.56,11.64,"32.33",49.2,31.95,17.25,11.68,4.53,0.62,4.35,4.04,115.8,9.15,250000
"2373",2371,"ritwik roy chowdhury",25,20,8,310,"36",25.83,234,132.48,0,0,5,0,22,14,6.5,10.64,"16.71",55.48,28.39,27.1,15.38,4.78,0.7,15.5,11.7,158.31,5.45,25000
"2385",2380,"jack wildermuth",56,33,4,308,"31",10.62,261,118.01,0,0,1,4,11,17,9.32,23.73,"15.35",47.4,14.29,33.12,10.73,5.21,0.7,9.33,7.91,128.63,7.12,62500
"2392",2389,"shane dowrich",27,21,3,306,"38",17,361,84.76,0,0,2,3,26,7,10.94,13.88,"51.57",47.71,33.99,13.73,9.14,4.42,0.49,14.57,17.19,101.76,3.57,37500
"2393",2393,"suresh kumar",23,16,5,305,"82*",27.73,185,164.86,0,1,3,0,24,16,4.63,7.71,"11.56",62.95,31.48,31.48,21.62,4.8,0.78,19.06,11.56,192.59,6.19,25000
"2397",2397,"rohit damodaran",29,28,1,304,"56",11.26,318,95.6,0,1,1,7,39,5,7.23,8.15,"63.6",61.18,51.32,9.87,13.84,4.23,0.43,10.86,11.36,106.86,1.93,25000
"2399",2397,"jagadeesha suchith",78,38,18,304,"34*",15.2,249,122.09,0,0,2,3,24,11,7.11,10.38,"22.64",53.29,31.58,21.71,14.06,4.63,0.66,8,6.55,137.29,7.53,25000
"2400",2397,"nathan ellis",89,54,24,304,"24*",10.13,276,110.14,0,0,0,7,22,8,9.2,12.55,"34.5",44.74,28.95,15.79,10.87,4.53,0.68,5.63,5.11,120.28,8.41,93750
"2409",2402,"umesh yadav",177,64,37,303,"26",11.22,248,122.18,0,0,0,10,23,17,6.2,10.78,"14.59",64.03,30.36,33.66,16.13,4.85,0.52,4.73,3.88,133.4,9.09,250000
"2415",2414,"saurabh rawat",21,20,3,301,"70*",17.71,266,113.16,0,1,3,0,20,11,8.58,13.3,"24.18",48.51,26.58,21.93,11.65,4.71,0.66,15.05,13.3,130.86,4.35,25000
"2420",2414,"kyle mills",98,44,16,301,"33",10.75,304,99.01,0,0,2,5,19,8,11.26,16,"38",41.2,25.25,15.95,8.88,4.59,0.64,6.84,6.91,109.76,8.52,125000
"2426",2422,"cameron boyce",94,45,14,300,"51*",9.68,266,112.78,0,1,0,6,19,16,7.6,14,"16.63",57.33,25.33,32,13.16,4.91,0.55,6.67,5.91,122.46,8.44,62500
"2430",2430,"marco jansen",39,24,9,299,"66",19.93,233,128.33,0,1,2,5,18,20,6.13,12.94,"11.65",64.21,24.08,40.13,16.31,5.05,0.55,12.46,9.71,148.26,7.5,525000
"2437",2435,"alistair gray",22,16,4,298,"57",24.83,237,125.74,0,2,2,0,20,16,6.58,11.85,"14.81",59.06,26.85,32.21,15.19,4.89,0.61,18.63,14.81,150.57,4.56,250
"2440",2435,"harsh tyagi",33,22,11,298,"38*",27.09,223,133.63,0,0,3,2,23,14,6.03,9.7,"15.93",59.06,30.87,28.19,16.59,4.76,0.66,13.55,10.14,160.72,7.41,25000
"2446",2442,"akash bhandari",45,33,7,297,"37",11.42,270,110,0,0,2,3,18,12,9,15,"22.5",48.48,24.24,24.24,11.11,4.8,0.64,9,8.18,121.42,6.97,25000
"2454",2451,"rohit sharma",27,23,7,294,"48",18.38,247,119.03,0,0,2,1,26,7,7.48,9.5,"35.29",49.66,35.37,14.29,13.36,4.42,0.69,12.78,10.74,137.4,5.7,25000
"2485",2483,"thomas kaber",30,22,5,289,"57*",17,235,122.98,0,1,2,1,16,12,8.39,14.69,"19.58",47.06,22.15,24.91,11.91,4.86,0.74,13.14,10.68,139.98,6.59,25000
"2487",2483,"evan jones",24,18,4,289,"50",20.64,217,133.18,0,1,4,4,23,13,6.03,9.43,"16.69",58.82,31.83,26.99,16.59,4.72,0.66,16.06,12.06,153.82,5.78,25000
"2503",2503,"pramod chandila",23,17,4,286,"70*",22,250,114.4,0,1,2,0,26,9,7.14,9.62,"27.78",55.24,36.36,18.88,14,4.51,0.6,16.82,14.71,136.4,5.41,12500
"2507",2506,"aryan juyal",14,12,4,285,"71",35.63,235,121.28,0,2,1,1,29,5,6.91,8.1,"47",51.23,40.7,10.53,14.47,4.29,0.69,23.75,19.58,156.9,2.75,25000
"2526",2519,"anureet singh",71,35,16,282,"41",14.84,259,108.88,0,0,2,5,20,15,7.4,12.95,"17.27",60.28,28.37,31.91,13.51,4.86,0.5,8.06,7.4,123.72,8.29,37500
"2527",2527,"deepak chahar",121,40,17,281,"55*",12.22,207,135.75,0,1,2,8,12,22,6.09,17.25,"9.41",64.06,17.08,46.98,16.43,5.29,0.58,7.03,5.18,147.97,7.83,1750000
"2546",2543,"abid nabi",25,24,1,278,"39*",12.09,213,130.52,0,0,1,4,22,14,5.92,9.68,"15.21",61.87,31.65,30.22,16.9,4.78,0.6,11.58,8.88,142.6,6.71,12500
"2551",2547,"sumit narwal",33,21,8,277,"42",21.31,170,162.94,0,0,1,3,20,15,4.86,8.5,"11.33",61.37,28.88,32.49,20.59,4.86,0.79,13.19,8.1,184.25,6.71,12500
"2562",2560,"dhruv singh",25,19,6,275,"57",21.15,274,100.37,0,1,1,0,23,2,10.96,11.91,"137",37.82,33.45,4.36,9.12,4.16,0.69,14.47,14.42,121.52,6.47,12500
"2570",2566,"umang sharma",26,20,3,274,"47",16.12,223,122.87,0,0,5,2,21,12,6.76,10.62,"18.58",56.93,30.66,26.28,14.8,4.73,0.62,13.7,11.15,138.99,4.85,12500
"2576",2571,"mujeeb zadran",215,68,30,273,"27",7.18,271,100.74,0,0,0,17,22,10,8.47,12.32,"27.1",54.21,32.23,21.98,11.81,4.63,0.52,4.01,3.99,107.92,9.72,5e+05
"2586",2581,"mitchell mcclenaghan",202,77,34,271,"20",6.3,235,115.32,0,0,0,18,17,15,7.34,13.82,"15.67",58.3,25.09,33.21,13.62,4.94,0.56,3.52,3.05,121.62,9.29,37500
"2609",2608,"nitin sharma",24,19,2,267,"76",15.71,199,134.17,0,1,2,3,18,13,6.42,11.06,"15.31",56.18,26.97,29.21,15.58,4.84,0.7,14.05,10.47,149.88,5.95,25000
"2621",2620,"bipin saurabh",11,11,0,266,"72",24.18,222,119.82,0,2,1,3,26,10,6.17,8.54,"22.2",61.65,39.1,22.56,16.22,4.56,0.55,24.18,20.18,144,1.64,25000
"2626",2620,"duan jansen",32,21,7,266,"41",19,177,150.28,0,0,3,0,20,13,5.36,8.85,"13.62",59.4,30.08,29.32,18.64,4.79,0.75,12.67,8.43,169.28,7.57,25000
"2634",2627,"alzarri joseph",82,42,23,265,"29*",13.95,243,109.05,0,0,0,5,19,12,7.84,12.79,"20.25",55.85,28.68,27.17,12.76,4.77,0.55,6.31,5.79,123,8.98,3e+05
"2642",2635,"dominic drakes",43,22,2,264,"48",13.2,194,136.08,0,0,3,2,24,13,5.24,8.08,"14.92",65.91,36.36,29.55,19.07,4.7,0.57,12,8.82,149.28,7.5,137500
"2650",2649,"arindam ghosh",20,18,4,263,"67",18.79,263,100,0,1,0,2,20,2,11.95,13.15,"131.5",34.98,30.42,4.56,8.37,4.18,0.71,14.61,14.61,118.79,5,12500
"2652",2649,"shubham ranjane",29,15,5,263,"52",26.3,237,110.97,0,1,3,0,22,5,8.78,10.77,"47.4",44.87,33.46,11.41,11.39,4.37,0.69,17.53,15.8,137.27,5.8,25000
"2655",2649,"adam zampa",234,73,32,263,"23",6.41,306,85.95,0,0,0,9,22,3,12.24,13.91,"102",40.3,33.46,6.84,8.17,4.24,0.56,3.6,4.19,92.36,9.27,187500
"2672",2672,"yash nahar",17,16,1,259,"103",17.27,224,115.63,1,0,2,6,24,11,6.4,9.33,"20.36",62.55,37.07,25.48,15.63,4.63,0.51,16.19,14,132.89,1.81,25000
"2697",2692,"jerome taylor",119,45,22,256,"21",11.13,215,119.07,0,0,0,5,20,13,6.52,10.75,"16.54",61.72,31.25,30.47,15.35,4.79,0.54,5.69,4.78,130.2,9.29,93750
"2703",2701,"sumit kumar",16,15,2,255,"39",19.62,262,97.33,0,0,3,0,24,6,8.73,10.92,"43.67",51.76,37.65,14.12,11.45,4.4,0.53,17,17.47,116.94,4.47,25000
"2704",2701,"aaron o'brien",58,34,18,255,"38",15.94,240,106.25,0,0,1,1,16,3,12.63,15,"80",32.16,25.1,7.06,7.92,4.32,0.78,7.5,7.06,122.19,7.88,25000
"2708",2707,"abhimanyu rana",21,20,2,254,"72",14.11,266,95.49,0,1,1,6,27,7,7.82,9.85,"38",59.06,42.52,16.54,12.78,4.41,0.45,12.7,13.3,109.6,2.1,25000
"2714",2711,"roshon primus",26,20,7,253,"38",19.46,216,117.13,0,0,3,3,16,13,7.45,13.5,"16.62",56.13,25.3,30.83,13.43,4.9,0.59,12.65,10.8,136.59,6.5,37500
"2727",2722,"himalaya barad",24,22,4,251,"48",13.94,233,107.73,0,0,2,1,20,8,8.32,11.65,"29.13",51,31.87,19.12,12.02,4.57,0.6,11.41,10.59,121.67,4.68,12500
"2737",2733,"salman khan",14,12,3,250,"47",27.78,195,128.21,0,0,4,2,21,7,6.96,9.29,"27.86",50.4,33.6,16.8,14.36,4.5,0.74,20.83,16.25,155.98,4.33,25000
"2743",2733,"andrew birch",86,39,14,250,"32",10,235,106.38,0,0,2,5,16,8,9.79,14.69,"29.38",44.8,25.6,19.2,10.21,4.67,0.65,6.41,6.03,116.38,8.38,250
"2744",2733,"lockie ferguson",131,42,22,250,"30",12.5,209,119.62,0,0,1,7,14,14,7.46,14.93,"14.93",56,22.4,33.6,13.4,5,0.61,5.95,4.98,132.12,9.36,1250000
